City,id,nametype,reclass,mass (g),Trip or Order Status,Request Time,Pickup Lat,Pickup Lng,Dropoff Lat,Dropoff Lng
San Francisco,10089,Valid,San Francisco,0,DRIVER_CANCELED,2019-05-30 01:25:18 +0000 UTC,37.4171386,-122.1466592,37.4260924,-122.1475578
San Francisco,23649,Valid,San Francisco,11.89,COMPLETED,2019-05-28 16:12:07 +0000 UTC,37.4258,-122.14793,37.48914,-122.23872
San Francisco,24202,Valid,San Francisco,1.63,COMPLETED,2019-05-27 21:26:46 +0000 UTC,37.41439,-122.12645,37.42537,-122.14892
San Francisco,11860,Valid,San Francisco,0,CANCELED,2019-05-27 21:26:27 +0000 UTC,,,,
San Francisco,5129,Valid,San Francisco,1.11,COMPLETED,2019-05-27 18:11:10 +0000 UTC,37.42646,-122.15032,37.4384,-122.1605
San Francisco,24354,Valid,San Francisco,1.21,COMPLETED,2019-05-27 03:14:33 +0000 UTC,37.42748,-122.14402,37.42532,-122.14884
San Francisco,16783,Valid,San Francisco,0.56,COMPLETED,2019-05-27 02:39:48 +0000 UTC,37.4263,-122.14891,37.42864,-122.14321
San Francisco,11910,Valid,San Francisco,0.98,COMPLETED,2019-05-26 00:16:35 +0000 UTC,37.4246704,-122.1604957,37.427181,-122.1488136
San Francisco,10947,Valid,San Francisco,2.12,COMPLETED,2019-05-25 02:23:07 +0000 UTC,37.42587,-122.14939,37.42155,-122.16819
San Francisco,5335,Valid,San Francisco,7.44,COMPLETED,2019-05-24 22:19:02 +0000 UTC,37.48735,-122.22536,37.42622,-122.15051
San Francisco,30407,Valid,San Francisco,9.45,COMPLETED,2019-05-24 16:45:16 +0000 UTC,37.42684,-122.14838,37.48983,-122.22434
San Francisco,397,Valid,San Francisco,0.53,COMPLETED,2019-05-24 06:13:05 +0000 UTC,37.42719,-122.1441,37.4253,-122.14878
San Francisco,5104,Valid,San Francisco,0,CANCELED,2019-05-24 06:12:34 +0000 UTC,,,,
